Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR
klse: Berjaya Corp. Bhd,Construction,4,1.6,5.94,1.36,7.21,1943623,859019,1975461,2082837,10883,-380803,538082,-61664,-58952,-345806,412521,-134422,6860940,-120864,1.27,5220400,1590000,7550000,11960000,6540000,1.22,0.88,0.3,-0.018480734,1.828746177,1.049073394
klse: AT Systematization Bhd,Industrial Machinery,3.8,1.8,0.01,3.87,9.51,7557,5055,5551,6446,110,-3324,-8966,-2465,110,-3324,-8966,-2464,24609,-14644,0.09,0,21180,5440,16520,80310,1.14,0.84,0.13,-0.182343419,0.205702901,0.306425103
klse: Adventa Bhd,Ringgit,3.5,1,0.01,5.34,7.52,14466,46373,13674,11642,-5227,1579,908,-6057,-5227,1691,1008,-6457,86155,-9343,0.23,3620,22650,13920,38350,69640,2.44,2.09,1.21,-0.134161401,0.550689259,1.237148191
klse: Comfort Gloves Bhd,Industrial Products,5,4.2,1.66,4.82,9.49,276688,197952,152907,138645,117526,56886,22242,13227,90329,42797,16339,10242,766192,159707,0.53,20,62970,91600,206240,369830,1.76,1.23,0.29,0.431838953,0.557661628,2.07174107
klse: Chin Teck Plantations Bhd,Agricultural Commodities,5.4,4.9,6.43,7.03,3.48,39155,33692,23729,33237,17725,14961,4617,9938,13715,11191,3270,7811,129813,35987,7.44,0,318400,0,33450,682420,29.23,28.32,26.43,0.052734386,0.049016735,0.190224495
klse: Tomei Consolidated Bhd,Consumer Services,5.3,4.8,6.29,3.17,7.12,180631,76129,127800,136507,19833,2540,5415,4689,13604,1891,4006,2675,521067,21834,1.55,0,13690,183500,205420,215500,1.83,0.2,0.09,0.101317865,0.953225058,2.417944316
klse: ABM Fujiya Bhd,Consumer,3.9,3.8,6.26,3.52,1.93,26557,17664,19826,29952,3171,568,-445,1668,2294,374,-446,1061,93999,3283,0.89,0,12910,75210,104440,159910,2.02,0.77,0.18,0.020530298,0.653117379,0.587824401
klse: VSTECS Bhd,Information Technology Services,6.2,6.4,5.32,6.78,6.37,536368,448822,372672,542095,13515,9309,8781,13954,10095,7023,6789,10734,1899957,34641,1.71,630,150600,1110,288290,315720,2.06,1.51,0.3,0.109720639,0.91311922,6.017854428
klse: Uzma Bhd,Oilfield Services,5.8,7.1,6.81,2.36,6.71,99605,151753,122958,149549,3293,-40978,10612,11864,1652,-45223,5436,6756,523865,-25283,1.37,196360,145840,592170,839030,457070,1.34,1.19,0.36,-0.055315378,1.835670685,1.146137353
klse: DutaLand Bhd,CPO,6.3,2.7,8.89,7.95,5.7,40729,35264,9986,1708,-2152,15862,-44723,718,-2122,16207,-44401,570,87687,-30042,1.46,0,546800,27470,70400,1230000,14.2,12.83,11.5,-0.02442439,0.057235772,0.071290244
